nid,name,library,source,confidence,evidence
TFC8dHvkuYs,_ZN3sce2Np9CppWebApi6Common13ConstIteratorINS1_13InGameCatalog2V511MediaSourceEED2Ev,\N,ps5rs-builtin,100,\N
gw6eHbjfARY,_ZN9Inspector22RemoteInspectionTargetD1Ev,\N,ps5rs-builtin,100,\N
QTg20GyF27Y,_ZN3JSC8JSObject33prototypeChainMayInterceptStoreToERNS_2VMENS_12PropertyNameE,\N,ps5rs-builtin,100,\N
7fTspeJSVrg,_ZN3sce2Np9CppWebApi6Common8IteratorINS2_12IntrusivePtrINS1_14SessionManager2V129RequestPlayerSessionSpectatorEEEEmmEi,\N,ps5rs-builtin,100,\N
gRk5E+DmCJ8,_sce_net_i5_signaling_get_ctx_by_matching2_ctx_id,\N,ps5rs-builtin,100,\N
guaqRqZCe2g,_ZN3sce2Np9CppWebApi17TitleCloudStorage2V110DataStatus11unsetSlotIdEv,\N,ps5rs-builtin,100,\N
xL1fjHSSpeQ,_ZN3sce2Np9CppWebApi6Common10LibContext17createTransactionINS2_12IntrusivePtrINS1_17TitleCloudStorage2V129GetMultiVariablesResponseBodyEEENS5_INS2_18ResponseHeaderBaseEEEEEiRNS2_11TransactionIT_T0_EE,\N,ps5rs-builtin,100,\N
GxlTLlXDXdU,_Z6DELETEIN3sce2Np9CppWebApi6Common6VectorINS2_14SessionManager2V123CustomInvitableUserTypeEEEEiRNS3_10LibContextEPT_,\N,ps5rs-builtin,100,\N
WIxiNVXHf2s,_ZN3sce2Np9CppWebApi6Common8IteratorINS2_12IntrusivePtrINS1_14SessionManager2V127ResponsePlayerSessionPlayerEEEEC2Ev,\N,ps5rs-builtin,100,\N
wLzJUeJqDxQ,sceBgftServiceIntPlayGoGetDiscIniChunksInstallProgress,\N,ps5rs-builtin,100,\N
MSwzxIAJjWY,ff4_rec_restore_moof,\N,ps5rs-builtin,100,\N
l1XKH6CiQVM,_ZNK3sce2Np9CppWebApi13InGameCatalog2V59Container16descriptionIsSetEv,\N,ps5rs-builtin,100,\N
B-DJJd2Bx84,sceFsUfsFsck_inoinfo,\N,ps5rs-builtin,100,\N
QflGzVw8KlA,WKBundleNodeHandleSetHTMLInputElementAutoFilledAndViewable,\N,ps5rs-builtin,100,\N
9gcEp-syUzQ,_ZN3sce3Agc4Core19AsyncComputeContext12postDispatchEv,\N,ps5rs-builtin,100,\N
Y12HbYnPTNw,_ZN3sce3Agc24threadLocalAssertDisableEv,\N,ps5rs-builtin,100,\N
XJSBSVI2WEI,_ZN3sce2Np9CppWebApi6Common13ConstIteratorINS2_12IntrusivePtrINS1_13InGameCatalog2V411ErrorEntityEEEE21intrusive_ptr_add_refEPS9_,\N,ps5rs-builtin,100,\N
q1VybSvRr6s,_ZN4Edge5Tools25FindBestPackingConstSpecsERNS0_19KeyframePackingSpecES2_S2_S2_RKNS0_9AnimationERKNS0_15CompressionInfoE,\N,ps5rs-builtin,100,\N
riyMPF0LADo,_ZN3sce2Np9CppWebApi6Common13ConstIteratorINS2_12IntrusivePtrINS1_14SessionManager2V152PostGameSessionsSessionIdMemberSpectatorsRequestBodyEEEEC2EPKS8_,\N,ps5rs-builtin,100,\N
P2+B5JnxVkM,_ZN3sce2Np9CppWebApi6Common12IntrusivePtrINS2_6VectorINS3_INS1_14SessionManager2V151PostPlayerSessionsSessionIdMemberPlayersRequestBodyEEEEEED2Ev,\N,ps5rs-builtin,100,\N
wvVv2OxrLxQ,_ZN8LibNpIpc10ServiceMgr13removeServiceE19SceNpIpcServiceType,\N,ps5rs-builtin,100,\N
dubvGs+jvAo,_ZN3sce2Np9CppWebApi6Common13ConstIteratorINS2_12IntrusivePtrINS1_21AdvancedPlayerProfile2V132ConnectionQualityWirelessMetricsEEEED2Ev,\N,ps5rs-builtin,100,\N
2NZthKrlG-o,_ZN3JSC7Symbols17assertPrivateNameE,\N,ps5rs-builtin,100,\N
XCSD7sYLxFU,.LCPI389_4,\N,ps5rs-builtin,100,\N
W8lCEPAaisw,ucasemap_getOptions_67,\N,ps5rs-builtin,100,\N
+P5TDFU2-fc,u_isdefined,\N,ps5rs-builtin,100,\N
7f8YM2IS570,ucsdet_close_67,\N,ps5rs-builtin,100,\N
JYTvXJIa-9Y,.L.str.167,\N,ps5rs-builtin,100,\N
lKopxPXf420,_ZN3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_14SessionManager2V133PostGameSessionsSearchRequestBodyEEEE21intrusive_ptr_add_refEPS9_,\N,ps5rs-builtin,100,\N
e+XnAvtC6jc,_ZN12video_parser13cVideoPathMgvC1EPKc,\N,ps5rs-builtin,100,\N
FrPkBD6dLis,_ZN3sce2Np9CppWebApi6Common15TransactionImplINS2_12IntrusivePtrINS1_17TitleCloudStorage2V132GetMultiDataStatusesResponseBodyEEENS2_11EmptyHeaderEE4initEv,\N,ps5rs-builtin,100,\N
xWYzg8zGFXM,_ZNK3sce2Np9CppWebApi14SessionManager2V138GetPlayerSessionsShareableResponseBody6toJsonERNS_4Json5ValueEb,\N,ps5rs-builtin,100,\N
Qaif+xO7qy8,_ZN8ListNodeI16VoiceCelpDecoderE4PrevEv,\N,ps5rs-builtin,100,\N
C-pGBA8apIE,_ZN3sce2Np9CppWebApi6Common6VectorINS1_14SessionManager2V122CustomJoinableUserTypeEE10setContextEPNS2_10LibContextE,\N,ps5rs-builtin,100,\N
PnM1RtWwuQQ,_ZN7WebCore10FileSystem11getFileSizeERKN3WTF6StringERx,\N,ps5rs-builtin,100,\N
nqWRoLIUWFw,_ZNK3sce11TextureTool3Raw10Reflection13EnumConverter11valueToNameEj,\N,ps5rs-builtin,100,\N
ehXUKUtch8M,glTexParameterfv,\N,ps5rs-builtin,100,\N
IM+5ewgCLzI,_ZN3sce2Np9CppWebApi14IdentityMapper2V314OnlineIdChange8fromJsonERKNS_4Json5ValueE,\N,ps5rs-builtin,100,\N
7OUPBprVq9g,__sys_cpuset_getid,\N,ps5rs-builtin,100,\N
MKGqm2K0G8s,_ZZN3sce2Np9CppWebApi6Common6VectorINS1_11Matchmaking2V113AttributeTypeEE7reserveEiENKUlRNS2_10LibContextEmE_clES9_m,\N,ps5rs-builtin,100,\N
D+fkILS7EK0,_Fail_s,\N,ps5rs-builtin,100,\N
8P9vqW+IePk,_ZN12video_parser5vpcom6StringC1ERKSs,\N,ps5rs-builtin,100,\N
p9t7+fbT3S8,_ZN3sce2Np9CppWebApi6Common12IntrusivePtrINS2_6VectorINS3_INS1_7Matches2V123RequestTeamMemberResultEEEEEEC1EPS9_PNS2_10LibContextE,\N,ps5rs-builtin,100,\N
kp7Oa4zQ3Ew,_ZN3sce2Np9CppWebApi6Common13ConstIteratorINS2_12IntrusivePtrINS1_11Matchmaking2V121GetTicketResponseBodyEEEEmmEi,\N,ps5rs-builtin,100,\N
YsDe30Lq1t4,_ZN3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_14SessionManager2V142PutGameSessionsSearchAttributesRequestBodyEEEE8pushBackERKS8_,\N,ps5rs-builtin,100,\N
qg4xSB9IE-U,_ZNSt5tupleIJjjEEC1IRjJRKjELDn0EEEOT_DpOT0_,\N,ps5rs-builtin,100,\N
niYrNjsCULE,sceHidControlSetRevokeList2,\N,ps5rs-builtin,100,\N
Sk8IHK5xgog,_ZN3sce7Toolkit2NP6WebAPI17ActivityFeedGroup29parseFeedCondensedStoryObjectEPNS1_34ActivityFeedCondensedStoryInternalEPKSt3mapISbIcSt11char_traitsIcENS_4Json8StlAllocIcEEENS9_5ValueESt4lessISC_ENSA_ISt4pairISC_SD_EEEE,\N,ps5rs-builtin,100,\N
f4AdGdnIBzs,_ZNK3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_13InGameCatalog2V45ImageEEEEixEm,\N,ps5rs-builtin,100,\N
StDKYRiTCeI,_ZZN3sce3Agc7Toolkit24clearDepthRenderTargetPsEPNS0_17DrawCommandBufferEPNS0_4Core11StateBufferEPKNS0_19CxDepthRenderTargetENS1_28DepthRenderTargetClearBufferEjjjjE7enabled_1,\N,ps5rs-builtin,100,\N
FjKPt0aMUaY,_ZN3sce13AgcGpuAddress87tile_macro_00_00_00_X0_Y0_X1_X2_Y1_X3xY3xS3_S2xX4xY4_S1xY5xX6_S0xX5xY6_Y2_X3_Y4_Z0xY6_8EPhPKhRKNS0_20ComputeOffsetContextEjNS0_7simd256EjRjRS7_,\N,ps5rs-builtin,100,\N
flieq2CdtYA,_ZN3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_14SessionManager2V136GetFriendsPlayerSessionsResponseBodyEEEE6insertENS2_8IteratorIS8_EERKS8_RSB_,\N,ps5rs-builtin,100,\N
u7Dh21thdmw,_ZN3sce11TextureTool3Raw15swizzle_5_4_4_5EPDv2_xj,\N,ps5rs-builtin,100,\N
gjLIRxeJ830,u_strFromPunycode_67,\N,ps5rs-builtin,100,\N
lXHyZaBJnew,_ZN3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_11Matchmaking2V124SubmitTicketResponseBodyEEEE21intrusive_ptr_add_refEPS9_,\N,ps5rs-builtin,100,\N
kSDY6GB8Kkg,_Z4SwapRi,\N,ps5rs-builtin,100,\N
3ozxeg2U2gU,ff4_l_rec_write_stsd_entry_box,\N,ps5rs-builtin,100,\N
HYNoL2tcg2w,_ZN3sce4Gnmx20ConstantUpdateEngine15preDispatchDrawEPNS_3Gnm25DispatchOrderedAppendModeEPjS5_S5_PNS2_16DispatchDrawModeES5_S5_,\N,ps5rs-builtin,100,\N
yrH8WsY--qg,_ZN9Matching28Callback10LobbyEvent6invokeEt,\N,ps5rs-builtin,100,\N
ANW-ywnsY2w,_ZN3sce2Np9CppWebApi6Common13ConstIteratorINS2_12IntrusivePtrINS1_12Leaderboards2V15EntryEEEED1Ev,\N,ps5rs-builtin,100,\N
+TXH8e7vyoQ,_ZN3sce2Np9CppWebApi6Common12IntrusivePtrINS1_15ProfanityFilter2V225WebApiErrorResponse_errorEE7get_refEv,\N,ps5rs-builtin,100,\N
RYwqCx0hU5c,_Tls_setup__Wctrans,\N,ps5rs-builtin,100,\N
oiP5N6SsOH4,.LCPI176_1,\N,ps5rs-builtin,100,\N
T+hlodmR+MU,_ZN3sce13AgcGpuAddressL84offset_00_00_00_X0_Z0_Y0_X1_Z1_Y1xX5xZ5_X2xY4xZ4_Z2xY3xX4_Y2xX3xZ3_X3_Z3_Y3_X4_not_xEjjj,\N,ps5rs-builtin,100,\N
vJqP99QzX4I,_ZN3sce2Np9CppWebApi6Common6VectorINS1_7Matches2V111LeaveReasonEEixEm,\N,ps5rs-builtin,100,\N
MSs83LRZpEk,_ZNK7WebCore15AffineTransform6yScaleEv,\N,ps5rs-builtin,100,\N
r2yx4cN096A,_ZZN3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_7Matches2V118CreateMatchRequestEEEE6resizeEjENKUlRNS2_10LibContextEmE_clESB_m,\N,ps5rs-builtin,100,\N
pb3-lRvcGxI,_ZN3sce2Np9CppWebApi6Common12IntrusivePtrINS1_14SessionManager2V130PostPlayerSessionsResponseBodyEE5resetEPS6_,\N,ps5rs-builtin,100,\N
d5zAkrYGC2w,_ZN3WTF3URL23fakeURLWithRelativePartENS_10StringViewE,\N,ps5rs-builtin,100,\N
WViwxtEKxHk,_ZNSt6locale7_LocimpC1ERKS0_,\N,ps5rs-builtin,100,\N
PRGCDAuvO4U,_ZN3sce7Toolkit2NP2V26Friend7Request15GetBlockedUsersD1Ev,\N,ps5rs-builtin,100,\N
AQBadyACkJc,_ZN7WebCore22EmptyFrameLoaderClient41dispatchDidReceiveAuthenticationChallengeEPNS_14DocumentLoaderEmRKNS_23AuthenticationChallengeE,\N,ps5rs-builtin,100,\N
PrGdK+Ea1B4,_Z18sceNpIpcEndRequestii,\N,ps5rs-builtin,100,\N
wRJweLVOk3k,_ZN3sce11TextureTool3Raw15swizzle_4_6_5_0EPDv2_xj,\N,ps5rs-builtin,100,\N
4utPx6f1jkI,_ZZN3sce3Agc7Toolkit20renderFullScreenQuadEPNS0_17DrawCommandBufferEPNS0_4Core11StateBufferEPKNS0_6ShaderENS1_14RestoreCxStateEE7enabled_2,\N,ps5rs-builtin,100,\N
K5afN9sKlsQ,sce11CloudClient6Daemon15IpmiCallContextEEE,\N,ps5rs-builtin,100,\N
XVIG0ICGRpM,WKUserContentURLPatternGetTypeID,\N,ps5rs-builtin,100,\N
2aW-bYdLb2U,_ZN3sce2Np9CppWebApi6Common9VectorValINS2_12IntrusivePtrINS1_21AdvancedPlayerProfile2V110ReputationEEEEC2Ev,\N,ps5rs-builtin,100,\N
Cc2ObtSc33Q,_ZN3sce4Ampr16AmmCommandBuffer13modifyProtectEmmii,\N,ps5rs-builtin,100,\N
yUjZuw9RxLk,_scePsmDevKill,\N,ps5rs-builtin,100,\N
et9jyaOWxH8,_ZN3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_10Activities2V114UserActivities14UserActivitiesEEEE8copyFromERKSA_,\N,ps5rs-builtin,100,\N
b4rosnD6+o4,_ZN3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_14SessionManager2V133ResponsePlayerSessionMemberPlayerEEEE5clearEv,\N,ps5rs-builtin,100,\N
